Employee ID,Full Legal Name,Business Unit,Job Title,Risk Score (%),Status,Leave Status,Leave Type,Termination Reason,Compa-Ratio,Last Promotion Years Ago,MUD ID,Email - Work,Position ID,Position,Effective Date for Current Position,Years in Current Position,Business Title,Worker Type,Employee\ CW Type,Is International Assignee,Scheduled Weekly Hours,Default Weekly Hours,FTE %,Work Shift,Company Code,Company,Location,Sub-function,Supervisory Organization,Supervisory Org ID,Region,Cost Center - ID,Cost Center - Name,Cost Center Hierarchy,Job Category,Job Family Group,Job Family,Job Profile,Job Code,End Employment Date,Company Service Date,Original Hire Date,Hire Date,Is Rehire,Continuous Service Date,Years - Continuous Service Date,Months - Continuous Service Date,Contract Start Date,Start Date (Remotely),Date of Move,Clawback End Date,Assignment End Date,Mobility Support Type,Manager's MUD ID,Manager's Employee ID,Worker's Manager,Manager's Business Title,Manager's Supervisory Organisation,Manager's Email,Manager's Country,Manager's Location,Date of Birth,Age,Country of Birth,City of Birth,Home Phones,Payroll ID,Legacy ID,Pay Group,Levels from Top of Organisation (CEO=2),CEO,CEO Business Title,CET,CET Business Title,CET-1,CET-1 Business Title,CET-2,CET-2 Business Title,CET-3,CET-3 Business Title,CET-4,CET-4 Business Title,CET-5,CET-5 Business Title,CET-6,CET-6 Business Title,Management Levels (Benefit Jobs),Car Allowance,Sports Allowance,Transportation Allowance,Country,Gender,Base Salary,Is Manager,Number of Direct Reports,Attrition_Risk,Tenure_Years,Grade,Midpoint
10000,Sadiye Demir,Sales,Sales Representative,34.02,Active,Not on Leave,,,98.0475,0.6,MUD10000,sadiye.demir@beko.com,POS-926,sales representative,2017-09-05,1.4,sales representative,Employee,Regular,False,40.0,45,50,Day,BEKO01,Beko,Bolu,Operations,Sales Org,ORG-112,EMEA,3195,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-39,,2016-10-31,2016-10-31,2016-10-31,False,2016-10-31,6.1,3,2016-10-31,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1973-10-14,52,USA,Kifayefort,+90(155)426-0972x3602,PAY-10000,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,642,2508,Turkey,Female,117657,False,0,0,9.752224503764545,9,120000.0
10007,Çelikkan Çorlu,Sales,Sales Representative,50.53,Active,On Leave,Maternity Leave,,103.44416666666667,3.0,MUD10007,çelikkan.çorlu@beko.com,POS-365,sales representative,2022-04-04,4.2,sales representative,Contingent Worker,Regular,False,80.0,45,0,Day,BEKO01,Beko,Sütlüce,Operations,Sales Org,ORG-100,EMEA,6682,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-13,,2022-02-07,2022-02-07,2022-02-07,False,2022-02-07,8.5,29,2022-02-07,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2000-05-25,26,Turkey,South Kotuz,159 7 640,PAY-10007,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1406,2764,UK,Female,124133,False,0,0,4.48186173853525,9,120000.0
10010,Ruhide Karadeniz,Sales,Key Account Management Head,24.81,Active,On Leave,Maternity Leave,,92.5083135391924,0.7,MUD10010,ruhide.karadeniz@beko.com,POS-536,key account management head,2021-02-08,1.6,key account management head,Employee,Regular,True,40.0,45,0,Day,BEKO01,Beko,Bolu,Operations,Sales Org,ORG-177,EMEA,2977,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,key account management head,JC-6-72,,2020-03-25,2020-03-25,2020-03-25,False,2020-03-25,2.9,77,2020-03-25,,,,,,MUD9999,9999,Sales Director,Sales Director,Sales Org,manager@beko.com,Turkey,Istanbul,1978-05-10,48,Turkey,South Gürardaton,0298-514 4869,PAY-10010,,Monthly,6,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1186,1546,Turkey,Female,194730,True,5,0,6.354551676933607,6,210500.0
10039,Sağcan Ertaş,Sales,Sales Representative,32.57,Active,Not on Leave,,,101.05,3.3,MUD10039,sağcan.ertaş@beko.com,POS-192,sales representative,2019-04-07,0.7,sales representative,Employee,Regular,False,45.0,45,0,Day,BEKO01,Beko,Gebze,Operations,Sales Org,ORG-156,EMEA,7973,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-94,,2019-01-30,2019-01-30,2019-01-30,False,2019-01-30,8.0,5,2019-01-30,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2004-11-25,21,USA,Port Mucahit,+90 (336) 1094416,PAY-10039,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1327,2764,Turkey,Female,121260,False,0,0,7.5044490075290895,9,120000.0
10073,Alize Yılmaz,Sales,Sales Representative,32.33,Active,On Leave,Military Leave,,104.37749999999998,0.5,MUD10073,alize.yılmaz@beko.com,POS-352,sales representative,2022-07-09,1.8,sales representative,Contingent Worker,Regular,True,40.0,45,100,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-132,EMEA,9604,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-32,,2021-10-13,2021-10-13,2021-10-13,False,2021-10-13,0.4,11,2021-10-13,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1999-04-19,27,UK,New Onurcanbury,+90 (539) 8391226,PAY-10073,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1236,2925,Turkey,Male,125253,False,0,0,4.802190280629706,9,120000.0
10086,Metinkaya Akçay,Sales,Sales Representative,70.09,Active,Not on Leave,,,101.3425,4.5,MUD10086,metinkaya.akçay@beko.com,POS-743,sales representative,2024-11-05,4.8,sales representative,Contractor,Regular,False,45.0,45,50,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-188,EMEA,1344,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-94,,2024-08-16,2024-08-16,2024-08-16,False,2024-08-16,5.4,108,2024-08-16,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1993-12-27,32,USA,Duranside,+90(265)2951646,PAY-10086,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,551,2141,USA,Male,121611,False,0,0,1.9603011635865846,9,120000.0
10120,Görsev Akça,Sales,Sales Representative,50.55,Active,On Leave,Sick Leave,,100.54833333333333,2.0,MUD10120,görsev.akça@beko.com,POS-865,sales representative,2019-01-12,4.2,sales representative,Employee,Regular,True,80.0,45,0,Day,BEKO01,Beko,Bolu,Operations,Sales Org,ORG-173,EMEA,9789,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-44,,2018-06-29,2018-06-29,2018-06-29,False,2018-06-29,8.3,31,2018-06-29,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1972-03-03,54,Turkey,Yıldırımmouth,+90(679)496-3830x9723,PAY-10120,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1000,2137,USA,Female,120658,False,0,0,8.093086926762492,9,120000.0
10122,Cihandide Arslan,Production,Manufacturing Excellence & Engineering Head,48.84,Active,Not on Leave,,,95.5187648456057,3.3,MUD10122,cihandide.arslan@beko.com,POS-800,manufacturing excellence & engineering head,2019-07-05,4.1,manufacturing excellence & engineering head,Contractor,Regular,False,45.0,45,100,Day,BEKO01,Beko,Bolu,Operations,Production Org,ORG-164,EMEA,7657,CC-Production,Global -> EMEA,Professional,Corporate,Production,manufacturing excellence & engineering head,JC-6-45,,2018-10-19,2018-10-19,2018-10-19,False,2018-10-19,7.9,104,2018-10-19,,,,,,MUD9999,9999,Plant Director,Plant Director,Production Org,manager@beko.com,Turkey,Istanbul,1993-10-16,32,UK,Esnahaven,555 7 512,PAY-10122,,Monthly,6,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1179,2191,UK,Male,201067,True,9,0,7.786447638603696,6,210500.0
10132,Bilgen Durdu,Sales,Sales Representative,74.73,Active,Not on Leave,,,97.03666666666668,4.3,MUD10132,bilgen.durdu@beko.com,POS-272,sales representative,2023-05-04,4.5,sales representative,Contingent Worker,Regular,True,45.0,45,50,Day,BEKO01,Beko,Gebze,Operations,Sales Org,ORG-154,EMEA,1510,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-92,,2022-11-17,2022-11-17,2022-11-17,False,2022-11-17,9.9,1,2022-11-17,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1963-02-27,63,Turkey,İncifirside,942 7 674,PAY-10132,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1330,2152,Turkey,Male,116444,False,0,0,3.707049965776865,9,120000.0
10203,Demirok Tarhan,Sales,Sales Representative,57.97,Active,Not on Leave,,,103.80333333333334,4.2,MUD10203,demirok.tarhan@beko.com,POS-452,sales representative,2021-01-23,1.3,sales representative,Contractor,Regular,True,80.0,45,100,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-163,EMEA,7096,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-85,,2020-04-03,2020-04-03,2020-04-03,False,2020-04-03,6.4,119,2020-04-03,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2003-11-13,22,UK,Zerafettown,+90(429)069-6904x5289,PAY-10203,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,867,1124,UK,Female,124564,False,0,0,6.329911019849418,9,120000.0
