Employee ID,Status,Leave Status,Leave Type,Termination Reason,Compa-Ratio,Last Promotion Years Ago,MUD ID,Email - Work,Position ID,Position,Effective Date for Current Position,Years in Current Position,Business Title,Worker Type,Employee\ CW Type,Is International Assignee,Scheduled Weekly Hours,Default Weekly Hours,FTE %,Work Shift,Company Code,Company,Location,Sub-function,Supervisory Organization,Supervisory Org ID,Region,Cost Center - ID,Cost Center - Name,Cost Center Hierarchy,Job Category,Job Family Group,Job Family,Job Profile,Job Code,End Employment Date,Company Service Date,Original Hire Date,Hire Date,Is Rehire,Continuous Service Date,Years - Continuous Service Date,Months - Continuous Service Date,Contract Start Date,Start Date (Remotely),Date of Move,Clawback End Date,Assignment End Date,Mobility Support Type,Manager's MUD ID,Manager's Employee ID,Worker's Manager,Manager's Business Title,Manager's Supervisory Organisation,Manager's Email,Manager's Country,Manager's Location,Date of Birth,Age,Country of Birth,City of Birth,Home Phones,Payroll ID,Legacy ID,Pay Group,Levels from Top of Organisation (CEO=2),CEO,CEO Business Title,CET,CET Business Title,CET-1,CET-1 Business Title,CET-2,CET-2 Business Title,CET-3,CET-3 Business Title,CET-4,CET-4 Business Title,CET-5,CET-5 Business Title,CET-6,CET-6 Business Title,Management Levels (Benefit Jobs),Car Allowance,Sports Allowance,Transportation Allowance,Full Legal Name,Business Unit,Job Title,Country,Gender,Base Salary,Is Manager,Number of Direct Reports
10044,Active,Not on Leave,,,1.08,2.3,MUD10044,ballı.eraslan@beko.com,POS-793,operational excellence manager,2023-12-08,3.2,operational excellence manager,Employee,Regular,False,80.0,45,50,Day,BEKO01,Beko,Bolu,Operations,Production Org,ORG-169,EMEA,3588,CC-Production,Global -> EMEA,Professional,Corporate,Production,operational excellence manager,JC-7-19,,2023-04-01,2023-04-01,2023-04-01,False,2023-04-01,6.6,11,2023-04-01,,,,,,MUD9999,9999,Manufacturing Excellence & Engineering Head,Manufacturing Excellence & Engineering Head,Production Org,manager@beko.com,Turkey,Istanbul,2003-09-24,22,UK,Akçastad,0647-436 7136,PAY-10044,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1422,1589,Ballı Eraslan,Production,Operational Excellence Manager,Turkey,Female,174490,True,3
10048,Active,Not on Leave,,,1.08,2.8,MUD10048,nezengül.bilgin@beko.com,POS-409,senior hr business partner,2023-07-24,2.5,senior hr business partner,Contingent Worker,Regular,True,80.0,45,0,Day,BEKO01,Beko,Çayırova,Operations,Human Resources Org,ORG-183,EMEA,7689,CC-Human Resources,Global -> EMEA,Professional,Corporate,Human Resources,senior hr business partner,JC-7-24,,2023-01-21,2023-01-21,2023-01-21,False,2023-01-21,1.2,39,2023-01-21,,,,,,MUD9999,9999,HR Business Partnership Manager,HR Business Partnership Manager,Human Resources Org,manager@beko.com,Turkey,Istanbul,1991-01-30,35,Turkey,North Arıel,0711-382 6758,PAY-10048,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1431,2435,Nezengül Bilgin,Human Resources,Senior HR Business Partner,Turkey,Female,174426,False,0
10062,Terminated,Not on Leave,,Lack of Promotion,1.04,5.3,MUD10062,menişan.dumanlı@beko.com,POS-742,sales representative,2023-08-01,4.8,sales representative,Employee,Regular,False,80.0,45,50,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-140,EMEA,3473,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-66,2024-06-03,2023-05-24,2023-05-24,2023-05-24,False,2023-05-24,7.1,57,2023-05-24,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2002-12-03,23,USA,South Arıpınarport,0905-814 7700,PAY-10062,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1150,2279,Menişan Dumanlı,Sales,Sales Representative,USA,Female,124534,False,0
10065,Active,Not on Leave,,,1.0,5.2,MUD10065,türabi.çorlu@beko.com,POS-771,senior field sales representative,2022-09-27,0.5,senior field sales representative,Employee,Regular,False,80.0,45,100,Day,BEKO01,Beko,Sütlüce,Operations,Sales Org,ORG-189,EMEA,7421,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,senior field sales representative,JC-8-26,,2022-05-29,2022-05-29,2022-05-29,False,2022-05-29,8.2,104,2022-05-29,,,,,,MUD9999,9999,Regional Sales Manager,Regional Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1967-05-16,59,Turkey,West Kaderfurt,(281)685 0542,PAY-10065,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,817,2981,Türabi Çorlu,Sales,Senior Field Sales Representative,Turkey,Female,143462,False,0
10070,Terminated,Not on Leave,,Relocation,1.03,2.3,MUD10070,memili.karadeniz@beko.com,POS-395,sales representative,2018-11-13,1.5,sales representative,Contingent Worker,Regular,False,40.0,45,100,Day,BEKO01,Beko,Çayırova,Operations,Sales Org,ORG-130,EMEA,5934,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-25,2019-01-08,2018-01-28,2018-01-28,2018-01-28,False,2018-01-28,0.3,119,2018-01-28,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2005-09-18,20,Türkiye,East Şahatmouth,+90 (179) 8089324,PAY-10070,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1040,1866,Memili Karadeniz,Sales,Sales Representative,Turkey,Male,123975,False,0
10079,Terminated,Not on Leave,,Health Reasons,1.02,0.6,MUD10079,tatu.gülen@beko.com,POS-688,sales representative,2027-04-15,1.2,sales representative,Contingent Worker,Regular,False,80.0,45,0,Day,BEKO01,Beko,Istanbul,Operations,Sales Org,ORG-109,EMEA,3053,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-50,2026-07-30,2026-07-30,2026-07-30,2026-07-30,False,2026-07-30,6.4,69,2026-07-30,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1995-02-02,31,Türkiye,South Beriyehaven,(289)226 8018,PAY-10079,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,920,2575,Tatu Gülen,Sales,Sales Representative,USA,Male,122612,False,0
10096,Terminated,Not on Leave,,Personal Reasons,0.97,1.7,MUD10096,gülnaziye.demirel@beko.com,POS-617,assistant customer service specialist,2020-03-30,1.0,assistant customer service specialist,Contractor,Regular,True,,45,50,Day,BEKO01,Beko,Bolu,Operations,Supply Chain Org,ORG-125,EMEA,9792,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,assistant customer service specialist,JC-9-29,2023-09-11,2020-03-13,2020-03-13,2020-03-13,False,2020-03-13,4.8,12,2020-03-13,,,,,,MUD9999,9999,Customer Service Specialist,Customer Service Specialist,Supply Chain Org,manager@beko.com,Turkey,Istanbul,2004-08-11,21,UK,West Gülcegün,+90(139)718-7072x867,PAY-10096,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,563,2697,Gülnaziye Demirel,Supply Chain,Assistant Customer Service Specialist,USA,Male,115838,False,0
10109,Active,Not on Leave,,,0.9,1.1,MUD10109,uyanser.i̇hsanoğlu@beko.com,POS-970,customer service manager,2019-12-16,1.1,customer service manager,Contractor,Regular,False,,45,50,Day,BEKO01,Beko,Istanbul,Operations,Supply Chain Org,ORG-140,EMEA,1256,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,customer service manager,JC-7-36,,2019-05-21,2019-05-21,2019-05-21,False,2019-05-21,0.6,74,2019-05-21,,,,,,MUD9999,9999,Supply Chain Director,Supply Chain Director,Supply Chain Org,manager@beko.com,Turkey,Istanbul,1986-08-25,39,USA,Port Özyurt,142 9 396,PAY-10109,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,683,2902,Uyanser İHsanoğlu,Supply Chain,Customer Service Manager,Turkey,Female,146156,True,2
10200,Terminated,Not on Leave,,Lack of Promotion,0.92,5.6,MUD10200,seyhan.yaman@beko.com,POS-764,ehs specialist,2025-11-26,2.4,ehs specialist,Contractor,Regular,False,45.0,45,0,Day,BEKO01,Beko,Çayırova,Operations,EHS & Adminastrative Affairs Org,ORG-155,EMEA,9553,CC-EHS & Adminastrative Affairs,Global -> EMEA,Professional,Corporate,EHS & Adminastrative Affairs,ehs specialist,JC-8-63,2026-05-12,2025-08-07,2025-08-07,2025-08-07,False,2025-08-07,7.4,31,2025-08-07,,,,,,MUD9999,9999,EHS Manager,EHS Manager,EHS & Adminastrative Affairs Org,manager@beko.com,Turkey,Istanbul,1986-06-20,40,Türkiye,Atnanhaven,376 5 991,PAY-10200,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1418,2920,Seyhan Yaman,EHS & Administrative Affairs,EHS Specialist,Turkey,Female,132039,False,0
10223,Terminated,Not on Leave,,Work-Life Balance / Burnout,0.97,2.2,MUD10223,toy.yılmaz@beko.com,POS-143,sales representative,2019-01-09,1.7,sales representative,Contractor,Regular,True,,45,50,Day,BEKO01,Beko,Sütlüce,Operations,Sales Org,ORG-174,EMEA,8786,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-98,2020-04-11,2018-04-03,2018-04-03,2018-04-03,False,2018-04-03,3.7,7,2018-04-03,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1973-11-01,52,Türkiye,West Cebesoy,02719500528,PAY-10223,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,905,2616,Toy Yılmaz,Sales,Sales Representative,UK,Male,115960,False,0
10251,Active,On Leave,Sick Leave,,0.98,2.2,MUD10251,rıfkıye.bilir@beko.com,POS-169,production planner,2016-11-18,3.6,production planner,Contingent Worker,Regular,True,45.0,45,50,Day,BEKO01,Beko,Bolu,Operations,Production Org,ORG-139,EMEA,5919,CC-Production,Global -> EMEA,Professional,Corporate,Production,production planner,JC-8-74,,2016-09-10,2016-09-10,2016-09-10,False,2016-09-10,5.4,93,2016-09-10,,,,,,MUD9999,9999,Production Manager,Production Manager,Production Org,manager@beko.com,Turkey,Istanbul,1970-03-29,56,Turkey,Abdürreşitville,(569)902 3557,PAY-10251,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,760,2618,Rıfkıye Bilir,Production,Production Planner,Turkey,Male,141228,False,0
10252,Active,On Leave,Sick Leave,,0.95,5.1,MUD10252,büreyre.sezgin@beko.com,POS-985,senior logistics specialist,2017-05-19,0.8,senior logistics specialist,Contingent Worker,Regular,False,,45,50,Day,BEKO01,Beko,Sütlüce,Operations,Supply Chain Org,ORG-168,EMEA,6490,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,senior logistics specialist,JC-7-69,,2016-12-07,2016-12-07,2016-12-07,False,2016-12-07,7.8,14,2016-12-07,,,,,,MUD9999,9999,Logistics Manager,Logistics Manager,Supply Chain Org,manager@beko.com,Turkey,Istanbul,1967-02-06,59,Türkiye,İhsanoğluton,+90(495)880-3955x1240,PAY-10252,,Monthly,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1142,1943,Büreyre Sezgin,Supply Chain,Senior Logistics Specialist,UK,Male,154183,False,0
10255,Terminated,Not on Leave,,Lack of Promotion,0.99,5.7,MUD10255,aydınbey.sakarya@beko.com,POS-754,maintenance specialist,2022-01-26,1.2,maintenance specialist,Employee,Regular,True,80.0,45,0,Day,BEKO01,Beko,Gebze,Operations,Production Org,ORG-126,EMEA,6257,CC-Production,Global -> EMEA,Professional,Corporate,Production,maintenance specialist,JC-9-35,2025-06-03,2021-10-14,2021-10-14,2021-10-14,False,2021-10-14,8.7,114,2021-10-14,,,,,,MUD9999,9999,Maintenance Manager,Maintenance Manager,Production Org,manager@beko.com,Turkey,Istanbul,1992-03-19,34,Türkiye,West Saydam,+90(571)422-4109x8813,PAY-10255,,Monthly,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,523,2182,Aydınbey Sakarya,Production,Maintenance Specialist,USA,Female,119119,False,0
10259,Active,Not on Leave,,,1.01,3.7,MUD10259,selmin.erdoğan@beko.com,POS-344,logistics manager,2025-02-20,3.6,logistics manager,Employee,Regular,False,,45,0,Day,BEKO01,Beko,Istanbul,Operations,Supply Chain Org,ORG-179,EMEA,4992,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,logistics manager,JC-8-80,,2024-07-03,2024-07-03,2024-07-03,False,2024-07-03,1.0,91,2024-07-03,,,,,,MUD9999,9999,Supply Chain Director,Supply Chain Director,Supply Chain Org,manager@beko.com,Turkey,Istanbul,1986-02-26,40,USA,South Öge,+90 (539) 6695832,PAY-10259,,Monthly,8,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,0,1104,1846,Selmin Erdoğan,Supply Chain,Logistics Manager,Turkey,Female,145133,True,10
