Employee ID,Full Legal Name,Status,Leave Status,Leave Type,Termination Reason,Compa-Ratio,Last Promotion Years Ago,MUD ID,Email - Work,Position ID,Position,Effective Date for Current Position,Years in Current Position,Business Title,Job Title,Worker Type,Employee\ CW Type,Is International Assignee,Is Manager,Scheduled Weekly Hours,Default Weekly Hours,FTE %,Work Shift,Country,Company Code,Company,Location,Business Unit,Sub-function,Supervisory Organization,Supervisory Org ID,Region,Cost Center - ID,Cost Center - Name,Cost Center Hierarchy,Job Category,Job Family Group,Job Family,Job Profile,Job Code,End Employment Date,Company Service Date,Original Hire Date,Hire Date,Is Rehire,Continuous Service Date,Years - Continuous Service Date,Months - Continuous Service Date,Contract Start Date,Start Date (Remotely),Date of Move,Clawback End Date,Assignment End Date,Mobility Support Type,Manager's MUD ID,Manager's Employee ID,Worker's Manager,Manager's Business Title,Manager's Supervisory Organisation,Manager's Email,Manager's Country,Manager's Location,Date of Birth,Age,Country of Birth,City of Birth,Gender,Home Phones,Payroll ID,Legacy ID,Pay Group,Number of Direct Reports,Levels from Top of Organisation (CEO=2),CEO,CEO Business Title,CET,CET Business Title,CET-1,CET-1 Business Title,CET-2,CET-2 Business Title,CET-3,CET-3 Business Title,CET-4,CET-4 Business Title,CET-5,CET-5 Business Title,CET-6,CET-6 Business Title,Management Levels (Benefit Jobs),Base Salary,Car Allowance,Sports Allowance,Transportation Allowance
10000,sadiye demir,Active,Not on Leave,,,0.98,0.6,MUD10000,sadiye.demir@beko.com,POS-926,sales representative,2017-09-05,1.4,sales representative,sales representative,Employee,Regular,No,No,40.0,45,50,Day,Turkey,BEKO01,Beko,Bolu,Sales,Operations,Sales Org,ORG-112,EMEA,3195,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-39,,2016-10-31,2016-10-31,2016-10-31,No,2016-10-31,6.1,3,2016-10-31,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1973-10-14,52,USA,Kifayefort,F,+90(155)426-0972x3602,PAY-10000,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,117657,0,642,2508
10001,değmeer tarhan,Active,On Leave,Maternity Leave,,1.06,2.8,MUD10001,değmeer.tarhan@beko.com,POS-402,corporate communications manager,2024-08-19,0.2,corporate communications manager,corporate communications manager,Employee,Regular,No,Yes,40.0,45,50,Day,Turkey,BEKO01,Beko,Bolu,Corporate Communications & Affairs,Operations,Corporate Communications & Affairs Org,ORG-137,EMEA,8129,CC-Corporate Communications & Affairs,Global -> EMEA,Professional,Corporate,Corporate Communications & Affairs,corporate communications manager,JC-7-57,,2023-12-28,2023-12-28,2023-12-28,No,2023-12-28,9.2,39,2023-12-28,,,,,,MUD9999,9999,Corporate Communications & Corporate Affairs Director,Corporate Communications & Corporate Affairs Director,Corporate Communications & Affairs Org,manager@beko.com,Turkey,Istanbul,1986-10-06,39,USA,Şefimouth,f,+90(205)171-0730x871,PAY-10001,,Monthly,3,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,171651,0,532,1061
10002,cindoruk bilir,Active,Not on Leave,,,1.03,4.4,MUD10002,cindoruk.bilir@beko.com,POS-470,sales representative,2019-03-29,2.2,sales representative,sales representative,Contractor,Regular,No,No,45.0,45,50,Day,UK,BEKO01,Beko,Istanbul,Sales,Operations,Sales Org,ORG-149,EMEA,5318,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-93,,2018-11-28,2018-11-28,2018-11-28,No,2018-11-28,1.4,77,2018-11-28,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1989-06-25,37,Turkey,Duranbury,FEMALE,+90(031)754-3802x741,PAY-10002,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,123195,0,703,2466
10003,selmin sezer,Active,Not on Leave,,,1.03,1.4,MUD10003,selmin.sezer@beko.com,POS-960,sales representative,2022-10-03,2.2,sales representative,sales representative,Employee,Regular,Yes,No,40.0,45,100,Day,Türkiye,BEKO01,Beko,Gebze,Sales,Operations,Sales Org,ORG-138,EMEA,9245,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-51,,2022-01-12,2022-01-12,2022-01-12,No,2022-01-12,3.1,74,2022-01-12,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1971-03-02,55,USA,Ülkerburgh,m,029 2 546,PAY-10003,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,123654,0,784,2657
10004,abid i̇nönü,Active,On Leave,Maternity Leave,,1.03,2.6,MUD10004,abid.i̇nönü@beko.com,POS-801,compliance manager,2024-12-20,1.9,compliance manager,compliance manager,Contractor,Regular,No,Yes,80.0,45,50,Day,UK,BEKO01,Beko,Istanbul,Legal,Operations,Legal Org,ORG-167,EMEA,7599,CC-Legal,Global -> EMEA,Professional,Corporate,Legal,compliance manager,JC-7-28,,2024-08-22,2024-08-22,2024-08-22,No,2024-08-22,1.8,97,2024-08-22,,,,,,MUD9999,9999,Legal Director,Legal Director,Legal Org,manager@beko.com,Turkey,Istanbul,1994-02-04,32,UK,Akçayside,FEMALE,+90(407)664-2076x3271,PAY-10004,,Monthly,7,7,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,166298,0,784,1318
10005,melihcan i̇nönü,Active,Not on Leave,,,0.96,5.9,MUD10005,melihcan.i̇nönü@beko.com,POS-980,sales representative,2020-05-13,2.0,sales representative,sales representative,Contingent Worker,Regular,Yes,No,,45,100,Day,UK,BEKO01,Beko,Bolu,Sales,Operations,Sales Org,ORG-190,EMEA,4383,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-53,,2019-12-13,2019-12-13,2019-12-13,No,2019-12-13,6.3,44,2019-12-13,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1965-01-14,61,UK,Lake Hazine,Erkek,762 5 923,PAY-10005,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,115584,0,867,2735
10006,uçan tevetoğlu,Active,On Leave,Maternity Leave,,1.01,0.9,MUD10006,uçan.tevetoğlu@beko.com,POS-641,warehouse supervisor,2019-11-16,3.3,warehouse supervisor,warehouse supervisor,Employee,Regular,No,No,45.0,45,0,Day,Türkiye,BEKO01,Beko,Istanbul,Supply Chain,Operations,Supply Chain Org,ORG-155,EMEA,9256,CC-Supply Chain,Global -> EMEA,Professional,Corporate,Supply Chain,warehouse supervisor,JC-9-70,,2019-03-25,2019-03-25,2019-03-25,No,2019-03-25,9.7,49,2019-03-25,,,,,,MUD9999,9999,Logistics Manager,Logistics Manager,Supply Chain Org,manager@beko.com,Turkey,Istanbul,1962-09-02,63,UK,South Tagangültown,Kadın,0886-932 0553,PAY-10006,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,121527,0,1049,1255
10007,çelikkan çorlu,Active,On Leave,Maternity Leave,,1.03,3.0,MUD10007,çelikkan.çorlu@beko.com,POS-365,sales representative,2022-04-04,4.2,sales representative,sales representative,Contingent Worker,Regular,No,No,80.0,45,0,Day,UK,BEKO01,Beko,Sütlüce,Sales,Operations,Sales Org,ORG-100,EMEA,6682,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-13,,2022-02-07,2022-02-07,2022-02-07,No,2022-02-07,8.5,29,2022-02-07,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2000-05-25,26,Turkey,South Kotuz,FEMALE,159 7 640,PAY-10007,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,124133,0,1406,2764
10008,yigit durdu,Terminated,Not on Leave,,Retirement,1.04,4.4,MUD10008,yigit.durdu@beko.com,POS-798,sales representative,2019-04-22,3.4,sales representative,sales representative,Contractor,Regular,Yes,No,45.0,45,50,Day,Türkiye,BEKO01,Beko,Bolu,Sales,Operations,Sales Org,ORG-183,EMEA,6270,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-62,2021-01-16,2018-07-04,2018-07-04,2018-07-04,No,2018-07-04,9.3,83,2018-07-04,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,1963-12-04,62,Turkey,Yorulmazfort,Female,+90(977)554-2619x0384,PAY-10008,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,124834,0,733,2583
10009,seyithan çorlu,Active,Not on Leave,,,1.0,1.4,MUD10009,seyithan.çorlu@beko.com,POS-250,sales representative,2026-01-13,2.0,sales representative,sales representative,Employee,Regular,No,No,45.0,45,50,Day,UK,BEKO01,Beko,Istanbul,Sales,Operations,Sales Org,ORG-123,EMEA,8812,CC-Sales,Global -> EMEA,Professional,Corporate,Sales,sales representative,JC-9-36,,2025-02-19,2025-02-19,2025-02-19,No,2025-02-19,4.8,111,2025-02-19,,,,,,MUD9999,9999,Regional Field Sales Manager,Regional Field Sales Manager,Sales Org,manager@beko.com,Turkey,Istanbul,2002-03-06,24,USA,Korutürkberg,Erkek,+90(320)222-7111x757,PAY-10009,,Monthly,0,9,Hakan Bulgurlu,CEO,,,,,,,,,,,,,,,,120227,0,784,1928
